;cast;director;runtime;genres;production_companies;budget_adj;revenue_adj
0;Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson;Colin Trevorrow;124;Action|Adventure|Science Fiction|Thriller;Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu;137999939.3;1392445893.0
1;Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman;George Miller;120;Action|Adventure|Science Fiction|Thriller;Village Roadshow Pictures|Kennedy Miller Productions;137999939.3;348161292.5
2;Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller;Robert Schwentke;119;Adventure|Science Fiction|Thriller;Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel;101199955.5;271619025.4
3;Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley;J.J. Abrams;136;Action|Adventure|Science Fiction|Fantasy;Lucasfilm|Truenorth Productions|Bad Robot;183999919.0;1902723130.0
4;Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson;James Wan;137;Action|Crime|Thriller;Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films;174799923.1;1385748801.0
5;Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson;Alejandro GonzÃ¡lez IÃ±Ã¡rritu;156;Western|Drama|Adventure|Thriller;Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures;124199945.4;490314247.0
6;Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons;Alan Taylor;125;Science Fiction|Action|Thriller|Adventure;Paramount Pictures|Skydance Productions;142599937.3;405355075.7
7;Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a;Ridley Scott;141;Drama|Adventure|Science Fiction;Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment;99359956.28;547749654.3
8;Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan;Kyle Balda|Pierre Coffin;91;Family|Animation|Adventure|Comedy;Universal Pictures|Illumination Entertainment;68079970.04;1064192017.0
9;Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black;Pete Docter;94;Comedy|Animation|Family;Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures;160999929.2;785411574.7
10;Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci;Sam Mendes;148;Action|Adventure|Crime;Columbia Pictures|Danjaq|B24;225399900.8;810220283.8
11;Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth;Lana Wachowski|Lilly Wachowski;124;Science Fiction|Fantasy|Action|Adventure;Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.;161919931.5;169268630.7
12;Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson;Alex Garland;108;Drama|Science Fiction;DNA Films|Universal Pictures International (UPI)|Film4;13799993.93;33919845.96
13;Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James;Chris Columbus;105;Action|Comedy|Science Fiction;Columbia Pictures|Happy Madison Productions;80959964.38;224146025.1
14;Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson;Joss Whedon;141;Action|Adventure|Science Fiction;Marvel Studios|Prime Focus|Revolution Sun Studios;257599886.7;1292632337.0
15;Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir;Quentin Tarantino;167;Crime|Drama|Mystery|Western;Double Feature Films|The Weinstein Company|FilmColony;40479982.19;143299244.6
16;Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott;Olivier Megaton;109;Crime|Action|Thriller;Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+;44159980.57;299709578.2
17;Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale;Peyton Reed;115;Science Fiction|Action|Adventure;Marvel Studios;119599947.4;477113780.0
18;Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger;Kenneth Branagh;112;Romance|Fantasy|Family|Drama;Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions;87399961.54;498963025.2
19;Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks;Francis Lawrence;136;War|Adventure|Science Fiction;Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force;147199935.2;598481289.5
20;Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie;Brad Bird;130;Action|Family|Science Fiction|Adventure|Mystery;Walt Disney Pictures|Babieka|A113;174799923.1;192312729.9
21;Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent;Antoine Fuqua;123;Action|Drama;Escape Artists|Riche-Ludwig Productions;27599987.86;84373003.72
22;Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi;Brad Peyton;114;Action|Drama|Thriller;New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company;101199955.5;432851375.0
23;Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk;Sam Taylor-Johnson;125;Drama|Romance;Focus Features|Trigger Street Productions|Michael De Luca Productions;36799983.81;524079119.0
24;Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo;Adam McKay;130;Comedy|Drama;Paramount Pictures|Plan B Entertainment|Regency Enterprises;25759988.67;122678731.5
25;Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames;Christopher McQuarrie;131;Action;Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions;137999939.3;627743451.7
26;Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi;Seth MacFarlane;115;Comedy;Universal Pictures|Media Rights Capital|Fuzzy Door Productions;62559972.47;198594430.1
27;Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong;Matthew Vaughn;130;Crime|Comedy|Action|Adventure;Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions;74519967.21;371497801.7
28;Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery;Tom McCarthy;128;Drama|Thriller|History;Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features;18399991.9;81278719.4
29;Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen;Wes Ball;132;Action|Science Fiction|Thriller;Gotham Group|Temple Hill Entertainment|TSG Entertainment;56119975.31;286356245.9
31;Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo;Neill Blomkamp;120;Crime|Action|Science Fiction;Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films;45079980.16;93903685.24
32;Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin;Elizabeth Banks;115;Comedy|Music;Universal Pictures|Gold Circle Films|Brownstone Productions;26679988.26;264505582.1
33;Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch;Steven Spielberg;141;Thriller|Drama;DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions;36799983.81;149601569.3
34;Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell;Rob Letterman;103;Adventure|Horror|Comedy;Columbia Pictures|Original Film|Scholastic Entertainment;53359976.52;138157089.0
35;Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy;Lenny Abrahamson;117;Drama|Thriller;Element Pictures|No Trace Camping|A24|Duperele Films;5519997.571;32569603.03
37;Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla;Peter Sohn;93;Adventure|Animation|Comedy|Family|Fantasy;Walt Disney Pictures|Pixar Animation Studios|Buena Vista;160999929.2;305371920.9
38;Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill;Jaume Collet-Serra;114;Action|Crime|Drama|Mystery|Thriller;Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment;45999979.76;65836683.51
39;Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins;John Crowley;111;Drama|Romance;Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions;10119995.55;57110024.59
40;O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge;F. Gary Gray;147;Drama|Music;New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz;25759988.67;185504110.1
41;Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson;Breck Eisner;106;Fantasy|Action|Adventure;Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel;82799963.57;129164861.2
42;Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels;Danny Boyle;122;History|Drama;Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360;27599987.86;31686509.22
43;Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani;Guy Ritchie;116;Comedy|Action|Adventure;Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment;68999969.64;99493456.5
44;Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker;Lee Toland Krieger;112;Fantasy|Drama|Romance;Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity;22999989.88;39219376.66
45;Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev;Ilya Naishuller;97;Action|Adventure|Science Fiction;Bazelevs Production|Versus Pictures;9199995.952;13187081.0
